GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
note,com.mediscreen.note.controller,NoteController,0,167,0,10,0,45,0,13,0,8
note,com.mediscreen.note.service,NoteService,0,114,0,6,0,31,0,11,0,8
note,com.mediscreen.note.configuration,SwaggerConfig,0,15,0,0,0,6,0,2,0,2
